Called number,type coverage,method name,coverage each time run,number of called Z3
6,STATEMENT,stickyRound,100.0,1
7,STATEMENT,stickyRound,100.0,1
8,STATEMENT,stickyRound,100.0,1
9,STATEMENT,stickyRound,100.0,1
10,STATEMENT,stickyRound,100.0,1
1,STATEMENT,subtractWithOverflowDefault,0.0,2
2,STATEMENT,subtractWithOverflowDefault,100.0,2
3,STATEMENT,subtractWithOverflowDefault,66.66666666666667,2
4,STATEMENT,subtractWithOverflowDefault,0.0,2
5,STATEMENT,subtractWithOverflowDefault,0.0,2
6,STATEMENT,subtractWithOverflowDefault,100.0,2
7,STATEMENT,subtractWithOverflowDefault,0.0,2
8,STATEMENT,subtractWithOverflowDefault,0.0,2
1,STATEMENT,tableSize,75.0,1
2,STATEMENT,tableSize,75.0,1
3,STATEMENT,tableSize,75.0,1
4,STATEMENT,tableSize,75.0,1
5,STATEMENT,tableSize,75.0,1
6,STATEMENT,tableSize,75.0,1
7,STATEMENT,tableSize,75.0,1
8,STATEMENT,tableSize,75.0,1
9,STATEMENT,tableSize,75.0,1
10,STATEMENT,tableSize,75.0,1
1,STATEMENT,toCompactValue,100.0,1
2,STATEMENT,toCompactValue,100.0,1
3,STATEMENT,toCompactValue,100.0,1
4,STATEMENT,toCompactValue,100.0,1
5,STATEMENT,toCompactValue,100.0,1
6,STATEMENT,toCompactValue,100.0,1
7,STATEMENT,toCompactValue,100.0,1
8,STATEMENT,toCompactValue,100.0,1
9,STATEMENT,toCompactValue,100.0,1
10,STATEMENT,toCompactValue,100.0,1
1,BRANCH,addWithOverflowDefault,0.0,2
2,BRANCH,addWithOverflowDefault,0.0,2
3,BRANCH,addWithOverflowDefault,0.0,2
4,BRANCH,addWithOverflowDefault,0.0,2
5,BRANCH,addWithOverflowDefault,0.0,2
6,BRANCH,addWithOverflowDefault,0.0,2
7,BRANCH,addWithOverflowDefault,0.0,2
8,BRANCH,addWithOverflowDefault,0.0,2
9,BRANCH,addWithOverflowDefault,0.0,2
10,BRANCH,addWithOverflowDefault,0.0,2
1,BRANCH,binaryGcd,100.0,3
2,BRANCH,binaryGcd,100.0,3
3,BRANCH,binaryGcd,100.0,3
4,BRANCH,binaryGcd,100.0,3
5,BRANCH,binaryGcd,100.0,3
6,BRANCH,binaryGcd,100.0,3
7,BRANCH,binaryGcd,100.0,3
8,BRANCH,binaryGcd,100.0,3
9,BRANCH,binaryGcd,100.0,3
10,BRANCH,binaryGcd,100.0,3
