Called number,type coverage,method name,average variable each time run,average expression each time run
5,STATEMENT,isCompatibleBrand,1.5,9.5
6,STATEMENT,isCompatibleBrand,1.5,9.5
7,STATEMENT,isCompatibleBrand,1.5,9.5
8,STATEMENT,isCompatibleBrand,1.5,9.5
9,STATEMENT,isCompatibleBrand,1.5,9.5
10,STATEMENT,isCompatibleBrand,1.5,9.5
1,STATEMENT,lookup,2,15.6667
2,STATEMENT,lookup,2,15.6667
3,STATEMENT,lookup,2,15.6667
4,STATEMENT,lookup,2,15.6667
5,STATEMENT,lookup,2,15.6667
6,STATEMENT,lookup,2,15.6667
7,STATEMENT,lookup,2,15.6667
8,STATEMENT,lookup,2,15.6667
9,STATEMENT,lookup,2,15.6667
10,STATEMENT,lookup,2,15.6667
1,STATEMENT,mulsub,4,20
2,STATEMENT,mulsub,4,20
3,STATEMENT,mulsub,4,20
4,STATEMENT,mulsub,4,20
5,STATEMENT,mulsub,4,20
6,STATEMENT,mulsub,4,20
7,STATEMENT,mulsub,4,20
8,STATEMENT,mulsub,4,20
9,STATEMENT,mulsub,4,20
10,STATEMENT,mulsub,4,20
1,STATEMENT,mulsubBorrow,4,20
2,STATEMENT,mulsubBorrow,4,20
3,STATEMENT,mulsubBorrow,4,20
4,STATEMENT,mulsubBorrow,4,20
5,STATEMENT,mulsubBorrow,4,20
6,STATEMENT,mulsubBorrow,4,20
7,STATEMENT,mulsubBorrow,4,20
8,STATEMENT,mulsubBorrow,4,20
9,STATEMENT,mulsubBorrow,4,20
10,STATEMENT,mulsubBorrow,4,20
1,STATEMENT,next,0,0
2,STATEMENT,next,0,0
3,STATEMENT,next,0,0
4,STATEMENT,next,0,0
5,STATEMENT,next,0,0
6,STATEMENT,next,0,0
7,STATEMENT,next,0,0
8,STATEMENT,next,0,0
9,STATEMENT,next,0,0
10,STATEMENT,next,0,0
1,STATEMENT,numberOfLeadingZeros,1,14.5
2,STATEMENT,numberOfLeadingZeros,1,14.5
3,STATEMENT,numberOfLeadingZeros,1,14.5
4,STATEMENT,numberOfLeadingZeros,1,14.5
5,STATEMENT,numberOfLeadingZeros,1,14.5
6,STATEMENT,numberOfLeadingZeros,1,14.5
7,STATEMENT,numberOfLeadingZeros,1,14.5
8,STATEMENT,numberOfLeadingZeros,1,14.5
9,STATEMENT,numberOfLeadingZeros,1,14.5
10,STATEMENT,numberOfLeadingZeros,1,14.5
1,STATEMENT,numberOfTrailingZeros,1,18.5
2,STATEMENT,numberOfTrailingZeros,1,18.5
3,STATEMENT,numberOfTrailingZeros,1,18.5
4,STATEMENT,numberOfTrailingZeros,1,18.5
5,STATEMENT,numberOfTrailingZeros,1,18.5
6,STATEMENT,numberOfTrailingZeros,1,18.5
7,STATEMENT,numberOfTrailingZeros,1,18.5
8,STATEMENT,numberOfTrailingZeros,1,18.5
9,STATEMENT,numberOfTrailingZeros,1,18.5
10,STATEMENT,numberOfTrailingZeros,1,18.5
1,STATEMENT,pow,1,3
2,STATEMENT,pow,1,3
3,STATEMENT,pow,1,3
4,STATEMENT,pow,1,3
5,STATEMENT,pow,1,3
6,STATEMENT,pow,1,3
7,STATEMENT,pow,1,3
8,STATEMENT,pow,1,3
9,STATEMENT,pow,1,3
10,STATEMENT,pow,1,3
1,STATEMENT,random,1.5,10
2,STATEMENT,random,1.5,10
3,STATEMENT,random,1.5,10
4,STATEMENT,random,1.5,10
5,STATEMENT,random,1.5,10
6,STATEMENT,random,1.5,10
7,STATEMENT,random,1.5,10
8,STATEMENT,random,1.5,10
9,STATEMENT,random,1.5,10
10,STATEMENT,random,1.5,10
1,STATEMENT,readBits,3.3333,14
2,STATEMENT,readBits,3.3333,14
3,STATEMENT,readBits,3.3333,14
4,STATEMENT,readBits,3.3333,14
5,STATEMENT,readBits,3.3333,14
6,STATEMENT,readBits,3.3333,14
7,STATEMENT,readBits,3.3333,14
8,STATEMENT,readBits,3.3333,14
9,STATEMENT,readBits,3.3333,14
10,STATEMENT,readBits,3.3333,14
1,STATEMENT,saturatedAdd,2,11
2,STATEMENT,saturatedAdd,2,11
3,STATEMENT,saturatedAdd,2,11
4,STATEMENT,saturatedAdd,2,11
5,STATEMENT,saturatedAdd,2,11
6,STATEMENT,saturatedAdd,2,11
7,STATEMENT,saturatedAdd,2,11
8,STATEMENT,saturatedAdd,2,11
9,STATEMENT,saturatedAdd,2,11
10,STATEMENT,saturatedAdd,2,11
1,STATEMENT,saturatedMultiply,2,181.3333
2,STATEMENT,saturatedMultiply,2,181.3333
3,STATEMENT,saturatedMultiply,2,181.3333
4,STATEMENT,saturatedMultiply,2,181.3333
5,STATEMENT,saturatedMultiply,2,181.3333
